inp,Output,timestamp
inp/0.jpeg,"{""Arabian camel"": 0.9875335693359375, ""reel"": 0.0005102421273477376, ""slot"": 0.0005099470727145672}",2021-07-16 10:16:17.358442
inp/1.jpeg,"{""Arabian camel"": 0.9875335693359375, ""reel"": 0.0005102421273477376, ""slot"": 0.0005099470727145672}",2021-07-16 10:16:18.348207
inp/2.jpeg,"{""Arabian camel"": 0.9875335693359375, ""reel"": 0.0005102421273477376, ""slot"": 0.0005099470727145672}",2021-07-16 10:16:18.856371
inp/3.jpeg,"{""Arabian camel"": 0.9875335693359375, ""reel"": 0.0005102421273477376, ""slot"": 0.0005099470727145672}",2021-07-16 10:16:19.624495
inp/4.jpeg,"{""Arabian camel"": 0.9875335693359375, ""reel"": 0.0005102421273477376, ""slot"": 0.0005099470727145672}",2021-07-16 10:16:20.260220
